Date,Open,High,Low,Close,Volume,Adj Close
1997-01-31,78.9375,79.406197,78.375,78.406197,3208100,56.384602
1997-01-30,77.875,78.531197,77.406197,78.50,2126300,56.452059
1997-01-29,76.875,77.50,76.593697,77.50,1122700,55.732924
1997-01-28,77.625,77.843697,76.00,76.75,4376000,55.193574
1997-01-27,76.875,77.234299,76.375,76.531197,2108500,55.036225
1997-01-24,77.875,77.906197,76.75,76.75,2176000,55.193574
1997-01-23,79.0625,79.6875,76.906197,77.75,2601100,55.912708
1997-01-22,78.3125,78.843697,77.875,78.843697,1201600,56.699223
1997-01-21,77.375,78.546799,77.109299,78.281197,2785800,56.29471
1997-01-20,77.75,78.093697,77.468697,77.656197,1889900,55.845251
1997-01-17,77.203102,77.75,77.109299,77.5625,1604000,55.77787
1997-01-16,77.031197,77.296799,76.50,77.093697,1308400,55.440738
1997-01-15,76.718697,77.203102,76.375,76.781197,1583900,55.216008
1997-01-14,76.6875,77.390602,76.50,76.968697,2111200,55.350846
1997-01-13,76.50,76.50,75.640602,76.015602,1364600,54.665443
1997-01-10,74.25,76.25,74.25,76.125,2369500,54.744115
1997-01-09,75.0625,75.875,74.9375,75.3125,1415700,54.159818
1997-01-08,75.75,75.781197,74.6875,74.6875,1802200,53.710359
1997-01-07,74.4375,75.468697,74.125,75.343697,939000,54.182252
1997-01-06,75.093697,75.4375,74.3125,74.4375,1374100,53.530575
1997-01-03,74.375,75.125,74.078102,75.093697,2123200,54.002469
1997-01-02,74.375,74.375,72.75,74.031197,2031900,53.238388
1996-12-31,75.281197,75.375,73.843697,73.843697,1378100,53.103551
1996-12-30,76.125,76.125,75.156197,75.218697,694100,54.09236
1996-12-27,75.781197,76.031197,75.50,75.875,410400,54.564331
1996-12-26,75.4375,75.828102,75.375,75.781197,1384300,54.496874
1996-12-24,74.843697,75.203102,74.796799,75.203102,633000,54.081146
1996-12-23,75.093697,75.203102,74.328102,74.656197,1263700,53.687847
1996-12-20,75.125,75.718697,74.75,74.843697,1543200,53.822685
1996-12-19,74.1875,75.125,73.890602,75.046799,2269300,53.704819
1996-12-18,73.375,73.765602,73.265602,73.531197,1666800,52.620227
1996-12-17,72.156197,73.281197,71.875,72.953102,2023200,52.206532
1996-12-16,73.50,73.6875,72.0625,72.375,1831100,51.792832
1996-12-13,73.0625,73.578102,72.406197,73.3125,1678300,52.463724
1996-12-12,74.781197,74.875,72.9375,73.125,2540200,52.329546
1996-12-11,73.625,74.625,73.3125,74.359299,1847900,53.212832
1996-12-10,75.5625,75.671799,74.968697,75.046799,1331600,53.704819
1996-12-09,74.6875,75.421799,74.578102,75.406197,1864600,53.96201
1996-12-06,73.25,74.75,72.656197,74.3125,3401800,53.179342
1996-12-05,74.843697,75.140602,74.531197,74.75,1697700,53.492424
1996-12-04,74.875,75.0625,74.093697,74.953102,2365100,53.637768
1996-12-03,76.0625,76.578102,74.75,74.75,1777800,53.492424
1996-12-02,75.921799,76.125,75.390602,76.046799,1350600,54.420436
1996-11-29,76.00,76.218697,75.859299,76.015602,1073400,54.398112
1996-11-27,76.0625,76.1875,75.640602,75.734299,872000,54.196806
1996-11-26,76.281197,76.6875,75.468697,75.875,2861800,54.297494
1996-11-25,75.25,76.156197,75.078102,76.125,2058800,54.476399
1996-11-22,74.703102,75.25,74.703102,75.171799,965100,53.794271
1996-11-21,74.796799,74.843697,74.375,74.593697,653000,53.380571
1996-11-20,74.5625,75.015602,74.3125,74.703102,730000,53.458863
1996-11-19,74.140602,74.593697,74.031197,74.578102,1029300,53.369411
1996-11-18,74.171799,74.25,73.734299,74.046799,1518200,52.989201
1996-11-15,74.125,74.50,73.718697,74.031197,2250900,52.978036
1996-11-14,73.1875,73.9375,73.156197,73.9375,558800,52.910985
1996-11-13,73.203102,73.5625,73.015602,73.453102,481900,52.564341
1996-11-12,73.546799,73.593697,73.015602,73.125,719900,52.329546
1996-11-11,73.25,73.515602,73.218697,73.343697,655900,52.486049
1996-11-08,73.031197,73.4375,72.75,73.421799,1355700,52.54194
1996-11-07,72.625,73.296799,72.531197,73.015602,1446300,52.251258
1996-11-06,71.593697,72.875,71.531197,72.843697,1665000,52.12824
1996-11-05,71.296799,71.796799,71.281197,71.468697,764000,51.144265
1996-11-04,70.6875,71.0625,70.531197,71.0625,1608400,50.853584
1996-11-01,70.984299,71.156197,70.265602,70.593697,821300,50.5181
1996-10-31,70.265602,70.875,70.1875,70.843697,726300,50.697004
1996-10-30,70.625,70.625,70.093697,70.171799,495400,50.216182
1996-10-29,70.0625,70.578102,69.703102,70.406197,815900,50.383922
1996-10-28,70.375,70.734299,69.8125,69.843697,975400,49.981387
1996-10-25,70.234299,70.5625,70.125,70.3125,568300,50.316871
1996-10-24,70.859299,70.984299,70.218697,70.25,379300,50.272145
1996-10-23,70.468697,70.890602,70.1875,70.859299,735900,50.70817
1996-10-22,71.0625,71.078102,70.593697,70.625,848900,50.540501
1996-10-21,71.281197,71.625,70.9375,71.125,879200,50.89831
1996-10-18,70.875,71.3125,70.718697,71.218697,695800,50.965361
1996-10-17,70.875,71.031197,70.546799,70.843697,792500,50.697004
1996-10-16,70.50,70.656197,69.9375,70.656197,590100,50.562826
1996-10-15,71.125,71.125,69.953102,70.3125,776900,50.316871
1996-10-14,70.3125,70.6875,70.296799,70.406197,201600,50.383922
1996-10-11,69.718697,70.3125,69.718697,70.3125,331300,50.316871
1996-10-10,69.593697,69.859299,69.375,69.453102,1562200,49.70187
1996-10-09,70.25,70.375,69.515602,69.593697,528800,49.802482
1996-10-08,70.453102,70.6875,70.015602,70.140602,386200,50.193858
1996-10-07,70.3125,70.625,70.25,70.421799,235100,50.395087
1996-10-04,69.6875,70.343697,69.50,70.343697,754100,50.339196
1996-10-03,69.50,69.531197,69.203102,69.406197,342200,49.668304
1996-10-02,69.25,69.593697,69.156197,69.468697,609000,49.71303
1996-10-01,68.703102,69.046799,68.4375,69.00,561400,49.377622
1996-09-30,68.781197,69.0625,68.578102,68.625,578200,49.109266
1996-09-27,68.718697,68.718697,68.375,68.6875,407600,49.153992
1996-09-26,68.75,69.1875,68.390602,68.625,773200,49.109266
1996-09-25,68.9375,68.9375,68.50,68.656197,1353300,49.131591
1996-09-24,68.5625,69.25,68.3125,68.609299,1269800,49.09803
1996-09-23,68.468697,68.75,68.156197,68.625,466800,49.109266
1996-09-20,68.593697,68.781197,68.375,68.640602,948400,49.120431
1996-09-19,68.375,68.796799,68.281197,68.75,410000,48.946821
1996-09-18,68.5625,68.75,68.218697,68.484299,225500,48.757654
1996-09-17,68.875,68.984299,68.234299,68.656197,604700,48.880037
1996-09-16,68.656197,69.156197,68.5625,68.8125,1220200,48.991318
1996-09-13,68.3125,68.625,68.125,68.5625,2008800,48.81333
1996-09-12,67.25,67.734299,67.156197,67.531197,713300,48.079089
1996-09-11,66.5625,67.125,66.406197,67.0625,713500,47.745399
1996-09-10,66.625,66.906197,66.375,66.6875,669900,47.478416
1996-09-09,66.1875,66.734299,66.078102,66.718697,719200,47.500627
1996-09-06,65.25,66.171799,65.140602,65.9375,804900,46.944451
1996-09-05,65.50,65.765602,65.015602,65.015602,616600,46.288102
1996-09-04,65.75,66.75,65.484299,65.8125,930200,46.855457
1996-09-03,64.468697,65.843697,64.375,65.75,1782000,46.81096
1996-08-30,66.00,66.015602,65.125,65.328102,1500900,46.510588
1996-08-29,66.593697,66.593697,65.625,66.015602,680200,47.000056
1996-08-28,66.9375,67.00,66.656197,66.671799,227600,47.467238
1996-08-27,66.718697,66.843697,66.50,66.781197,389400,47.545124
1996-08-26,66.703102,66.781197,66.421799,66.531197,784700,47.367136
1996-08-23,67.093697,67.203102,66.640602,66.859299,757100,47.600729
1996-08-22,66.75,67.343697,66.718697,67.218697,584800,47.856604
1996-08-21,66.656197,66.8125,66.375,66.593697,266400,47.411633
1996-08-20,66.890602,66.906197,66.671799,66.828102,645700,47.578519
1996-08-19,66.859299,66.921799,66.625,66.875,436400,47.611908
1996-08-16,66.468697,66.875,66.468697,66.843697,475100,47.589621
1996-08-15,66.234299,66.625,66.203102,66.281197,632600,47.189147
1996-08-14,66.1875,66.468697,66.00,66.406197,533800,47.278141
1996-08-13,66.578102,66.625,66.00,66.171799,805200,47.111261
1996-08-12,66.25,66.859299,66.00,66.703102,764200,47.489524
1996-08-09,66.671799,66.765602,66.0625,66.218697,648800,47.14465
1996-08-08,66.5625,66.5625,66.1875,66.4375,925100,47.300428
1996-08-07,66.625,66.75,66.125,66.546799,917800,47.378244
1996-08-06,66.156197,66.515602,65.796799,66.375,640000,47.255931
1996-08-05,66.578102,66.593697,65.968697,66.171799,710200,47.111261
1996-08-02,66.00,66.593697,65.75,66.5625,1098500,47.389422
1996-08-01,64.156197,65.390602,64.0625,65.156197,1168600,46.388199
1996-07-31,63.671799,64.265602,63.515598,64.093697,767100,45.631748
1996-07-30,63.4375,63.6875,62.9375,63.625,1868200,45.298058
1996-07-29,63.625,63.7187,62.9375,63.015598,1297900,44.864192
